,houseloc,houseage,housesize,unitprice,north_latitude,east_longitude,distance
73,惠益新苑 ,5.0, 78.94,24069,31.204273,121.542007,4.60734540841096
74,秀枫苑 ,10.0, 130.03,24226,31.196043,121.584427,7.094821635910337
75,巨龙台湾城 ,14.0, 84.55,24247,31.2829,121.17712,17.671085272947224
76,协通公寓 ,15.0, 143.94,24316,31.136295,121.394699,10.118206726400206
77,李园二村 ,33.0, 62.36,24375,31.145752,121.41378,8.837051960441592
78,红梅小区(嘉定) ,36.0, 64.6,24459,31.29161,121.16003,18.85023611303334
79,布鲁斯小镇(二期) ,8.0, 102,24510,31.03396,121.76403,25.073897525019742
80,大众春盛苑 ,15.0, 97.07,24519,31.135271000000003,121.581418,10.992951576653832
81,万寿新村(青浦) ,21.0, 68.39,24565,31.202257,121.515245,3.576917824547381
82,盈港新村 ,20.0, 113.61,24646,31.32095,121.469612,8.687480857109348
83,紫薇茗庭 ,5.0, 83.16,24652,31.143372,121.409384,9.146324026913595
84,正阳世纪星城丽骏湾 ,9.0, 137.84,24667,31.22424,121.55298,4.524173240562635
85,正阳世纪星城(绅鸿苑) ,13.0, 121.3,24716,31.244384000000004,121.537783,3.8556363215894396
86,艺泰安邦 ,11.0, 111.16,24740,31.156693,121.418999,7.755129285714371
87,塔城路800弄 ,25.0, 69.67,24832,31.214962,121.438553,2.5256635393299294
88,佳乐苑 ,14.0, 124.34,24852,31.210958,121.430992,3.100959691737116
89,翠苑(公寓) ,9.0, 90.42,24884,31.284552,121.428861,5.799898503218138
90,古华B区 ,26.0, 67.43,24915,30.918159000000006,121.46875,29.98626171833982
91,欣春苑 ,10.0, 67.23,24989,31.090494,121.247081,18.665556710866465
92,文怡花园 ,22.0, 74,25000,31.20292,121.4743,2.647530084845172
93,乐源城C区 ,13.0, 122.96,25049,31.13907,121.09232,23.476032387954447
94,紫荆二村 ,24.0, 96.89,25080,31.383097,121.225561,20.387362926945457
95,宜浩佳园 ,10.0, 77.74,25084,31.350263,121.423823,11.852095341667276
96,保利湖畔阳光苑 ,7.0, 256.6,25137,31.23527,121.57417,5.710334328849663
97,佳乐苑 ,14.0, 129.71,25211,31.263569,121.404152,5.106069198437604
98,茉莉雅苑 ,7.0, 71,25212,31.235290000000006,121.43471,2.3036796347689994
99,丽水豪庭 ,13.0, 197.68,25243,31.104373,121.402379,12.783424896205023
100,樱花小区 ,22.0, 109.52,25384,31.249781,121.397758,4.739963439897926
101,文怡花园 ,15.0, 107.96,25473,31.293877,121.524399,6.720874716298713
102,澳洲国际花园(公寓) ,14.0, 97.2,25515,31.0555,121.409485,17.201419131069695
103,汇锦城二期 ,7.0, 84.23,25526,31.10185,121.24706,17.89741993079453
104,红梅小区(嘉定) ,35.0, 48.9,25563,31.26376,121.47679,3.1962336012410058
105,茉莉雅苑 ,7.0, 74.23,25597,31.13952,121.40058,9.692481812211254
106,佘山家园 ,6.0, 93.22,25639,31.256502,121.347206,7.663026819549592
107,新南家园 ,16.0, 119.68,25736,31.202893,121.487905,2.761069272796749
108,金都雅苑(公寓) ,14.0, 91.97,25770,31.285892,121.120926,20.833105554244742
109,解放新村 ,39.0, 48.45,25800,31.256502,121.347206,7.663026819549592
110,新南家园 ,14.0, 87.03,25854,31.202893,121.487905,2.761069272796749
111,金都雅苑(公寓) ,14.0, 85.03,25874,31.159963,121.37861200000002,8.695259358763524
112,城东新村 ,32.0, 61.5,26017,31.014618,121.40007,21.152155269935374
113,听潮五村 ,25.0, 58.7,26065,31.279396,121.131607,20.090260371360174
114,佳兆业8号(公寓) ,4.0, 88.14,26095,31.204739,121.461639,2.57624376476213
115,艺泰安邦 ,8.0, 91.59,26204,31.261841,121.426315,4.066695579160349
116,月厦新天地 ,14.0, 49.56,26231,31.144829,121.325371,11.819985026346414
117,新凯城尚樱苑 ,5.0, 74.3,26245,31.191715,121.445732,4.063993659229907
118,崧泽华城佳福雅苑 ,5.0, 75.34,26281,31.1362,121.56398,10.39585666752355
119,九华苑 ,15.0, 91.3,26287,31.18792,121.44679,4.378219846871609
120,航星二村 ,21.0, 168.04,26363,31.16285,121.49837,6.637456936859702
121,金都雅苑(公寓) ,14.0, 84.89,26388,31.27286,121.40235,5.776067777683908
122,海馨苑 ,12.0, 58.7,26406,31.233873,121.48558,0.7193751857886116
123,竹园公寓 ,21.0, 87.07,26416,31.28211,121.59922,8.674125145908883
124,青水湾公寓 ,13.0, 122.96,26432,31.017344,121.202652,25.661252873088753
125,九华苑 ,15.0, 87.5,26515,31.065599,121.522301,16.06493891460979
126,宜浩佳园 ,10.0, 82.96,26519,31.15795,121.42615,7.486154992033406
127,马桥景城馨苑 ,5.0, 79.18,26522,31.158990000000006,121.5025,7.050335897697513
128,佘山家园 ,6.0, 94.15,26554,31.12781,121.21946,17.555689802341057
129,汇锦城(一期) ,8.0, 169.18,26599,31.143173,121.544586,9.291067238494094
130,新南家园 ,13.0, 97.67,26621,31.14835,121.1346,20.9079008291015
131,崧泽华城佳福雅苑 ,5.0, 74.6,26676,31.153949,121.154898,19.63372943138965
132,百合苑(公寓) ,13.0, 100.84,26776,31.01195,121.19027,26.501239407812385
133,高昌路105弄 ,22.0, 100.08,26779,31.00898,121.41968,21.492555857677875
134,正阳世纪星城行知苑 ,14.0, 121.09,26807,31.139578000000004,121.388911,9.994002290775514
135,月厦新天地 ,14.0, 68.99,26816,31.13415,121.08526,24.0275789671563
136,东江小区 ,26.0, 87.62,26821,30.902063,121.463234,31.53612381944176
137,文怡花园 ,15.0, 93.1,26853,31.267319,121.435493,4.170189223215967
138,汇秀景苑三街坊 ,6.0, 77.83,26854,31.040098,121.5407,18.666043309289034
139,毕加索小镇(一期)(公寓) ,9.0, 185,26973,31.22424,121.55298,4.524173240562635
140,同润玫瑰芳苑 ,7.0, 88.86,27009,31.272083,121.446991,4.285101986243446
141,昆阳小区 ,26.0, 56.92,27056,31.241606,121.462153,1.2717513117500028
142,新乐雅苑 ,14.0, 86.83,27065,30.99299,121.43663,22.90175075791518
143,泰晤士小镇(公寓) ,12.0, 145.76,27100,31.206785,121.529694,3.8920165785406717
144,都汇华庭 ,14.0, 56,27143,31.318913,121.491974,8.547296681264337
145,惠益新苑 ,5.0, 58.17,27162,31.132147,121.577675,11.12918442043685
146,茸城路2号 ,35.0, 95.58,27203,30.91072,121.44947,30.731368162613165
147,天居玲珑湾(公寓) ,6.0, 82.71,27204,31.18087,121.63204,10.174887047043368
148,迎春公寓 ,19.0, 119.36,27229,31.25133,121.44827,2.490515677814485
149,紫薇茗庭 ,5.0, 67.17,27245,31.350626,121.40421299999998,12.204820885663155
150,新凯城尚樱苑 ,5.0, 74.15,27377,31.161690000000004,121.488243,6.653169712545383
151,浦江瑞和城 ,6.0, 75,27467,31.242517,121.466811,1.230445302490497
152,蓝天苑 ,14.0, 97.43,27497,31.282919,121.51944,5.651692540863754
153,崧泽华城佳福雅苑 ,5.0, 78.18,27501,31.257890000000003,121.53018,4.129866416006548
154,新凯城银杏苑 ,7.0, 72.61,27545,31.116901,121.490799,10.945772782248552
155,西油墩港路177弄 ,5.0, 69.64,27571,31.257841,121.395668,5.1946572847075965
156,九华新园 ,13.0, 106.87,27604,31.09517,121.3947,13.761250195510474
157,逸皓华庭(公寓) ,7.0, 90.53,27616,31.200802000000003,121.412648,4.525634205673665
158,聚缘南庭 ,6.0, 76,27632,31.256281,121.430855,3.5016983858521313
159,百欣苑 ,14.0, 77.76,27650,31.283693,121.177753,17.658365300706155
160,塘和家园桂花锦苑 ,6.0, 71.7,27685,31.369628,121.240098,18.884425542871718
161,文怡花园 ,21.0, 84.7,27745,31.16047,121.57202,8.730012295863325
162,松云水苑(公寓) ,14.0, 157.21,27925,31.300083,121.322952,10.911353214515074
163,新城悠活城 ,8.0, 87.65,27953,31.284704,121.462029,5.250618487894593
164,妙境路627弄 ,24.0, 89.05,27962,31.189184,121.691711,13.011017279557297
165,新凯城锦昌苑 ,8.0, 67.19,27981,31.185202,121.439804,4.772619886776426
166,聚缘北庭 ,6.0, 75.04,27986,31.048525,121.545677,17.93680385546443
167,新凯城银杏苑 ,7.0, 70.74,27990,31.19455,121.46605,3.48303035548939
168,汇秀景苑三街坊 ,6.0, 76.76,28010,31.26234,121.49848,3.352872259384328
169,闵浦新苑六村 ,12.0, 60.69,28012,31.136982,121.330124,12.171432616011918
170,紫荆三村 ,20.0, 83,28073,31.226621999999995,121.4226,2.970956880882719
171,江南清漪园 ,15.0, 93.43,28150,31.203989,121.54873700000002,4.947043582818673
172,上海诗林(公寓) ,15.0, 49.6,28226,30.9779,121.86991,33.11341537754018
173,汇秀景苑二街坊 ,6.0, 55.9,28265,31.159352,121.395129,8.186605945956732
174,千汇苑一村 ,12.0, 106.13,28268,31.170612,121.445839,5.973779860813236
175,东川苑 ,20.0, 79.44,28324,31.269779,121.450104,4.015454395942518
176,永康城佳兴苑 ,5.0, 68.66,28401,31.273067,121.506218,4.472997401533077
177,兰花清苑 ,6.0, 74.59,28409,30.934645,121.453795,28.425995581560542
178,天环苑 ,11.0, 77.41,28421,31.23405,121.44404,1.758840865088257
179,李园一村 ,31.0, 92.49,28436,31.199402000000006,121.45742,3.136683570852567
180,聚缘北庭 ,6.0, 73.79,28460,31.319648,121.281348,13.93634731590072
181,瑞和苑 ,11.0, 75.47,28489,31.014839,121.367973,21.572348055746172
182,城东新村 ,33.0, 65.97,28498,31.147340000000003,121.12118,21.653823524278298
183,城东新村 ,27.0, 62.93,28604,31.112340000000003,121.43447,11.568306219067628
184,塘和家园德悦苑 ,4.0, 66.4,28615,31.1908,121.67748,12.191572707327339
185,汇秀景苑一街坊 ,6.0, 80.33,28632,31.294758,121.477226,6.171154384713161
186,浩泽家园 ,13.0, 94.28,28639,31.147429,121.091877,23.211670066336456
187,鸿宝一村(南区) ,23.0, 35.55,28692,31.337921,121.443779,10.458386726752995
188,丝庐雅苑(公寓) ,4.0, 88.78,28723,31.0763,121.5032,14.894351926425275
189,牡丹逸庭 ,7.0, 71.25,28772,31.274014,121.462074,4.235329754535909
190,新凯城银杏苑 ,7.0, 72.94,28791,31.109890000000004,121.23958,17.693950843694257
191,新城尚上城 ,7.0, 128.45,28805,31.233093,121.457044,1.0152772469286553
192,玉兰二村 ,24.0, 78,28847,31.103846,121.234261,18.30446975365314
193,金硕河畔景园西区 ,9.0, 51.96,28869,31.245634000000006,121.561226,5.162808770232006
194,荣欣苑 ,8.0, 103.68,28936,31.147340000000003,121.12118,21.653823524278298
195,浦发香舍(公寓) ,11.0, 91.56,28943,31.12943,121.53174,10.239880679528683
196,永康城永锦苑 ,5.0, 76,28948,31.360007,121.265637,17.206190151911027
197,正阳世纪星城丽骏湾 ,9.0, 75.97,28959,31.01493,121.39955,21.128767726860683
198,盈中新村 ,33.0, 55.19,28991,31.152489000000006,121.111465,21.996347464917566
199,富力桃园(公寓) ,8.0, 150.9,29026,31.253576,121.424858,3.5852653315384706
200,玉龙苑 ,12.0, 99.75,29073,31.276173,121.431694,5.012695410154764
201,绿地海悦 ,15.0, 46.37,29114,31.260939,121.528275,4.242766511009514
202,华泽新苑 ,12.0, 72.13,29115,31.0611,121.31642,18.586486999598776
203,浦航新城中城苑 ,5.0, 99.49,29149,31.13745,121.42457,9.371818427782989
204,新理想花园 ,13.0, 118.26,29174,31.243307,121.531219,3.4689655816198863
205,汇锦城二期 ,7.0, 89,29214,31.262186,121.524536,4.1772467054738
206,浦航新城中城苑 ,5.0, 80.33,29255,31.146915000000003,121.35421,10.54749020910041
207,浦江宝邸北区 ,10.0, 78.17,29296,31.312433,121.30072,12.640212168954431
208,欣佳宝邸 ,8.0, 98.91,29320,31.16938,121.374672,8.165918708811123
209,新凯城香樟苑 ,8.0, 68.02,29374,31.221663,121.514336,2.433969037270079
210,金塔新村 ,24.0, 81.35,29380,31.15806,121.3479,10.013889983064947
