,houseloc,houseage,housesize,unitprice,north_latitude,east_longitude,distance
40,同润蓝美俊庭 ,1.3862943611198906,4.526776118560079,9.930616219924381,31.256691,121.487282,1.0098415596471266
41,文化新村(惠南) ,3.2188758248682006,4.583946549536464,9.934695479660322,31.19806,121.39915,1.6234576326561707
42,德盈佳园 ,2.3978952727983707,4.5224405383890955,9.934937768809375,31.210490000000004,121.62429,2.1963085355214
43,万达广场(松江) ,1.6094379124341003,3.9884283366305513,9.94044609352166,31.264589,121.488897,1.2501528754455156
44,泰安公寓 ,2.1972245773362196,4.685551297934904,9.940927835509973,31.132944,121.038881,3.268841427310649
45,江秋新苑(公寓) ,1.791759469228055,4.899405737409714,9.945732534129874,31.251240000000006,121.43194,1.0910028588736018
46,松云银座 ,2.5649493574615367,3.8284239815518326,9.946307549719057,31.221203000000006,121.54998,1.5339428563379014
47,阳光园(二期)(三期) ,2.5649493574615367,4.958991060943918,9.95484584481127,30.904539,121.44577,3.442811579152012
48,普康苑 ,2.6390573296152584,5.043425116919247,9.966039727193092,31.27428,121.49782,1.51227044874596
49,荷风华庭 ,2.302585092994046,3.9043939782636548,9.969415732650235,31.173398,121.523964,1.8316212026910803
50,古华新村 ,3.332204510175204,4.394449154672439,9.980680048366034,31.147831,121.49757,2.084831592897919
51,育秀三区 ,3.1780538303479458,4.21921354426797,9.987001152763945,31.187575,121.520728,1.6084058271269457
52,贝港南区 ,3.1780538303479458,4.314951565884313,9.995291593011165,31.016466,121.209877,3.2307810232674825
53,贝港一区 ,3.1354942159291497,4.275832438267478,9.997114498314753,31.225307,121.428589,0.8767337244494098
54,荷风景庭 ,2.302585092994046,3.9043939782636548,9.997296606214185,31.235195,121.527527,1.198984835102854
55,运河新村(南桥) ,3.1780538303479458,4.430816798843313,9.999888046822443,31.246792,121.559204,1.674110793655398
56,贝港一区 ,3.1780538303479458,4.314550469548967,10.001747921703648,31.254795,121.43589,1.1228014625032998
57,金碧汇虹苑 ,2.3978952727983707,4.614427207250769,10.01202800682558,30.901913,121.808311,3.6090452781611515
58,三皇桥小区 ,3.2188758248682006,4.812184355372417,10.022203486241112,31.253994,121.493561,0.9807053635764278
59,江秋新苑(公寓) ,1.791759469228055,4.374876130645041,10.028444791940512,31.183702,121.696205,2.61287778079626
60,贝港二区 ,3.1354942159291497,4.362588940781406,10.035173493361503,31.184894,121.551224,1.8467490847637642
